[Header]
Application Name	LabSolutions
Version	5.93
Data File Name	C:\LabSolutions\Data\outreach\11-11-2023\T3 caffeine acetonitrile_3_king_kong_001_run1_016.lcd
Output Date	11/12/2023
Output Time	3:03:23 PM

[File Information]
Type	Data File
Generated	11/12/2023 1:41:32 AM
Generated by	Lab2
Modified	11/12/2023 3:01:04 PM
Modified by	Lab2

[Sample Information]
Operator Name	Lab2
Acquired	11/12/2023 1:41:49 AM
Sample Type	0:Unknown
Level	0
Sample Name	king_kong_001
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	34
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\outreach\11-11-2023\T3 caffeine acetonitrile_3_king_kong_001_run1_016.lcd
Method File	C:\LabSolutions\Data\TOBH\caff_t3\T3 caffeine acetonitrile_3.lcm
Batch File	C:\LabSolutions\Data\outreach\11-11-2023\run1.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	S24564-Instrument1
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector
# of Channels	2	1

[Peak Table(Detector A-Ch1)]
# of Peaks	61
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.050	1.017	1.117	5133	1742	2.946	0.247	   			0.000	1970	76.152	1.348	0.000	0.000	0	0	0.000	0.000
2	1.163	1.117	1.200	1687	412	4.095	0.081	   			0.107	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
3	1.281	1.200	1.400	41719	8232	5.068	2.008	 V 			0.219	1161	129.223	0.000	0.000	2.045	0	0	0.000	0.000
4	1.539	1.400	1.875	131166	13250	9.900	6.314	   			0.465	801	187.300	1.724	1.405	2.123	0	0	0.000	0.000
5	2.064	1.883	2.275	53154	4189	12.687	2.559	   			0.965	593	253.099	0.000	1.884	2.073	0	0	0.000	0.000
6	2.465	2.275	2.542	15886	1396	11.383	0.765	 V 			1.347	492	304.672	0.000	1.025	1.396	0	0	0.000	0.000
7	2.680	2.542	2.883	28674	2010	14.267	1.380	 V 			1.551	635	236.313	0.000	0.492	1.151	0	0	0.000	0.000
8	2.981	2.883	3.333	501645	66455	7.549	24.149	 V 			1.838	4303	34.858	2.250	0.994	1.185	0	0	0.000	0.000
9	3.470	3.333	3.867	80394	6439	12.485	3.870	 V 			2.304	2181	68.784	0.000	2.042	1.253	0	0	0.000	0.000
10	4.173	3.867	4.325	37762	3366	11.219	1.818	   			2.973	4784	31.351	0.000	2.609	1.290	0	0	0.000	0.000
11	4.429	4.325	4.592	22256	1780	12.503	1.071	 V 			3.216	1863	80.506	0.000	0.785	1.082	0	0	0.000	0.000
12	4.676	4.592	4.700	9838	2041	4.820	0.474	 V 			3.452	1778	84.371	0.000	0.580	1.073	0	0	0.000	0.000
13	4.773	4.700	4.883	23465	3205	7.321	1.130	 V 			3.544	5147	29.141	0.000	0.271	1.027	0	0	0.000	0.000
14	4.980	4.883	5.117	17204	1550	11.097	0.828	 V 			3.741	2303	65.140	0.000	0.609	1.056	0	0	0.000	0.000
15	5.255	5.117	5.525	43514	2654	16.396	2.095	 V 			4.003	2064	72.677	0.000	0.627	1.070	0	0	0.000	0.000
16	5.551	5.525	5.583	2206	725	3.045	0.106	 V 			4.285	11196	13.398	0.000	0.880	1.070	0	0	0.000	0.000
